+-----+----------------------------------------------------------------------------------------------+------------------------+--------------------+-------+-------+
| id  |                                             name                                             |          type          |        city        | state |  zip  |
| 1197 | 339         | F A Cleveland                                                                     | Public School  | Norwood                | MA    | 02062 |
| 1198 | 339         | George F. Willett                                                                 | Public School  | Norwood                | MA    | 02062 |
| 1199 | 339         | John P Oldham                                                                     | Public School  | Norwood                | MA    | 02062 |
| 1200 | 339         | Norwood High                                                                      | Public School  | Norwood                | MA    | 02062 |
| 1201 | 340         | Oak Bluffs Elementary                                                             | Public School  | Oak Bluffs             | MA    | 02557 |
| 1202 | 342         | Old Colony Regional Vocational Technical                                          | Public School  | Rochester              | MA    | 02770 |
| 1203 | 343         | Old Rochester Regional High                                                       | Public School  | Mattapoisett           | MA    | 02739 |
| 1204 | 343         | Old Rochester Regional Jr High                                                    | Public School  | Mattapoisett           | MA    | 02739 |
| 1205 | 344         | Old Sturbridge Academy Charter Public School                                      | Charter School | Sturbridge             | MA    | 01566 |
| 1206 | 345         | Dexter Park                                                                       | Public School  | Orange                 | MA    | 01364 |
| 1207 | 345         | Fisher Hill                                                                       | Public School  | Orange                 | MA    | 01364 |
| 1208 | 346         | Orleans Elementary                                                                | Public School  | Orleans                | MA    | 02653 |
| 1209 | 348         | Alfred M Chaffee                                                                  | Public School  | Oxford                 | MA    | 01540 |
| 1210 | 348         | Clara Barton                                                                      | Public School  | Oxford                 | MA    | 01540 |
| 1211 | 348         | Oxford High                                                                       | Public School  | Oxford                 | MA    | 01540 |
| 1212 | 348         | Oxford Middle                                                                     | Public School  | Oxford                 | MA    | 01540 |
| 1213 | 349         | Old Mill Pond                                                                     | Public School  | Palmer                 | MA    | 01069 |
| 1214 | 349         | Palmer High                                                                       | Public School  | Palmer                 | MA    | 01069 |
| 1215 | 350         | Pathfinder Vocational Technical                                                   | Public School  | Palmer                 | MA    | 01069 |
| 1216 | 351         | Paulo Freire Social Justice Charter School                                        | Charter School | Chicopee               | MA    | 01013 |
| 1217 | 353         | Captain Samuel Brown                                                              | Public School  | Peabody                | MA    | 01960 |
| 1218 | 353         | Center                                                                            | Public School  | Peabody                | MA    | 01960 |
| 1219 | 353         | J Henry Higgins Middle                                                            | Public School  | Peabody                | MA    | 01960 |
| 1220 | 353         | John E Burke                                                                      | Public School  | Peabody                | MA    | 01960 |
| 1221 | 353         | John E. McCarthy                                                                  | Public School  | Peabody                | MA    | 01960 |
| 1222 | 353         | Peabody Personalized Remote Education Program (Peabody P.R.E.P.)                  | Public School  | Peabody                | MA    | 01960 |
| 1223 | 353         | Peabody Veterans Memorial High                                                    | Public School  | Peabody                | MA    | 01960 |
| 1224 | 353         | South Memorial                                                                    | Public School  | Peabody                | MA    | 01960 |
| 1225 | 353         | Thomas Carroll                                                                    | Public School  | Peabody                | MA    | 01960 |
| 1226 | 353         | West Memorial                                                                     | Public School  | Peabody                | MA    | 01960 |
| 1227 | 353         | William A Welch Sr                                                                | Public School  | Peabody                | MA    | 01960 |
| 1228 | 354         | Pelham Elementary                                                                 | Public School  | Pelham                 | MA    | 01002 |
| 1229 | 355         | Bryantville Elementary                                                            | Public School  | Pembroke               | MA    | 02359 |
| 1230 | 355         | Hobomock Elementary                                                               | Public School  | Pembroke               | MA    | 02359 |
| 1231 | 355         | North Pembroke Elementary                                                         | Public School  | Pembroke               | MA    | 02359 |
| 1232 | 355         | Pembroke Community Middle School                                                  | Public School  | Pembroke               | MA    | 02359 |
| 1233 | 355         | Pembroke High School                                                              | Public School  | Pembroke               | MA    | 02359 |
| 1234 | 356         | Dr Frederick N Sweetsir                                                           | Public School  | Merrimac               | MA    | 01860 |
| 1235 | 356         | Dr John C Page School                                                             | Public School  | West Newbury           | MA    | 01985 |
| 1236 | 356         | Elmer S Bagnall                                                                   | Public School  | Groveland              | MA    | 01834 |
| 1237 | 356         | Helen R Donaghue School                                                           | Public School  | Merrimac               | MA    | 01860 |
| 1238 | 356         | Pentucket Regional Middle                                                         | Public School  | West Newbury           | MA    | 01985 |
| 1239 | 356         | Pentucket Regional Sr High                                                        | Public School  | West Newbury           | MA    | 01985 |
| 1240 | 359         | Petersham Center                                                                  | Public School  | Petersham              | MA    | 01366 |
| 1241 | 361         | Phoenix Academy Charter Public High School, Chelsea                               | Charter School | Chelsea                | MA    | 02150 |
| 1242 | 362         | Phoenix Academy Public Charter High School, Lawrence                              | Charter School | Lawrence               | MA    | 01840 |
| 1243 | 363         | Phoenix Academy Public Charter High School, Springfield                           | Charter School | Springfield            | MA    | 01105 |
| 1244 | 364         | Pioneer Charter School of Science                                                 | Charter School | Everett                | MA    | 01249 |
| 1245 | 365         | Pioneer Charter School of Science II                                              | Charter School | Saugus                 | MA    | 01906 |
| 1246 | 366         | Bernardston Elementary                                                            | Public School  | Bernardston            | MA    | 01337 |
| 1247 | 366         | Northfield Elementary                                                             | Public School  | Northfield             | MA    | 01360 |
| 1248 | 366         | Pioneer Valley Regional                                                           | Public School  | Northfield             | MA    | 01360 |
| 1249 | 367         | Pioneer Valley Chinese Immersion Charter School                                   | Charter School | Hadley                 | MA    | 01035 |
| 1250 | 368         | Pioneer Valley Performing Arts Charter Public School                              | Charter School | South Hadley           | MA    | 01075 |
| 1251 | 369         | Allendale                                                                         | Public School  | Pittsfield             | MA    | 01201 |
| 1252 | 369         | Crosby                                                                            | Public School  | Pittsfield             | MA    | 01201 |
| 1253 | 369         | Crosby Educational Academy                                                        | Public School  | Pittsfield             | MA    | 01201 |
| 1254 | 369         | Eagle Education Academy                                                           | Public School  | Pittsfield             | MA    | 01201 |
| 1255 | 369         | Egremont                                                                          | Public School  | Pittsfield             | MA    | 01201 |
| 1256 | 369         | John T Reid Middle                                                                | Public School  | Pittsfield             | MA    | 01201 |
| 1257 | 369         | Morningside Community School                                                      | Public School  | Pittsfield             | MA    | 01201 |
| 1258 | 369         | Pittsfield High                                                                   | Public School  | Pittsfield             | MA    | 01201 |
| 1259 | 369         | Pittsfield Public Virtual Academy                                                 | Public School  | Pittsfield             | MA    | 01202 |
| 1260 | 369         | Robert T. Capeless Elementary School                                              | Public School  | Pittsfield             | MA    | 01867 |
| 1261 | 369         | Silvio O Conte Community                                                          | Public School  | Pittsfield             | MA    | 01201 |
| 1262 | 369         | Stearns                                                                           | Public School  | Pittsfield             | MA    | 01201 |
| 1263 | 369         | Taconic High                                                                      | Public School  | Pittsfield             | MA    | 01201 |
| 1264 | 369         | Theodore Herberg Middle                                                           | Public School  | Pittsfield             | MA    | 01201 |
| 1265 | 369         | Williams                                                                          | Public School  | Pittsfield             | MA    | 01201 |
| 1266 | 371         | Anna Ware Jackson                                                                 | Public School  | Plainville             | MA    | 02762 |
| 1267 | 371         | Beatrice H Wood Elementary                                                        | Public School  | Plainville             | MA    | 02762 |
| 1268 | 372         | Cold Spring                                                                       | Public School  | Plymouth               | MA    | 02360 |
| 1269 | 372         | Federal Furnace School                                                            | Public School  | Plymouth               | MA    | 02360 |
| 1270 | 372         | Hedge                                                                             | Public School  | Plymouth               | MA    | 02360 |
| 1271 | 372         | Indian Brook                                                                      | Public School  | Plymouth               | MA    | 02360 |
| 1272 | 372         | Manomet Elementary                                                                | Public School  | Plymouth               | MA    | 02360 |
| 1273 | 372         | Nathaniel Morton Elementary                                                       | Public School  | Plymouth               | MA    | 02360 |
| 1274 | 372         | Plymouth Commun Intermediate                                                      | Public School  | Plymouth               | MA    | 02360 |
| 1275 | 372         | Plymouth Early Childhood Center                                                   | Public School  | Plymouth               | MA    | 02360 |
| 1276 | 372         | Plymouth North High                                                               | Public School  | Plymouth               | MA    | 02360 |
| 1277 | 372         | Plymouth South High                                                               | Public School  | Plymouth               | MA    | 02360 |
| 1278 | 372         | Plymouth South Middle                                                             | Public School  | Plymouth               | MA    | 02360 |
| 1279 | 372         | South Elementary                                                                  | Public School  | Plymouth               | MA    | 02360 |
| 1280 | 372         | West Elementary                                                                   | Public School  | Plymouth               | MA    | 02360 |
| 1281 | 373         | Dennett Elementary                                                                | Public School  | Plympton               | MA    | 02367 |
| 1282 | 375         | Prospect Hill Academy Charter School                                              | Charter School | Cambridge              | MA    | 02139 |
| 1283 | 376         | Provincetown Schools                                                              | Public School  | Provincetown           | MA    | 02657 |
| 1284 | 377         | Hardwick Elementary                                                               | Public School  | Gilbertville           | MA    | 01031 |
| 1285 | 377         | Hubbardston Center                                                                | Public School  | Hubbardston            | MA    | 01452 |
| 1286 | 377         | New Braintree Grade                                                               | Public School  | New Braintree          | MA    | 01531 |
| 1287 | 377         | Oakham Center                                                                     | Public School  | Oakham                 | MA    | 01068 |
| 1288 | 377         | Quabbin Regional High School                                                      | Public School  | Barre                  | MA    | 01005 |
| 1289 | 377         | Quabbin Regional Middle School                                                    | Public School  | Barre                  | MA    | 01005 |
| 1290 | 377         | Ruggles Lane                                                                      | Public School  | Barre                  | MA    | 01005 |
| 1291 | 378         | Quaboag Integrated Preschool                                                      | Public School  | Warren                 | MA    | 01083 |
| 1292 | 378         | Quaboag Regional High                                                             | Public School  | Warren                 | MA    | 01083 |
| 1293 | 378         | Quaboag Regional Middle Innovation School                                         | Public School  | Warren                 | MA    | 01083 |
| 1294 | 378         | Warren Elementary                                                                 | Public School  | West Warren            | MA    | 01092 |
| 1295 | 378         | West Brookfield Elementary                                                        | Public School  | West Brookfield        | MA    | 01585 |
| 1296 | 379         | Amelio Della Chiesa Early Childhood Center                                        | Public School  | Quincy                 | MA    | 02169 |
| 1297 | 379         | Atherton Hough                                                                    | Public School  | Quincy                 | MA    | 02169 |
| 1298 | 379         | Atlantic Middle                                                                   | Public School  | Quincy                 | MA    | 02171 |
| 1299 | 379         | Beechwood Knoll Elementary                                                        | Public School  | Quincy                 | MA    | 02170 |
| 1300 | 379         | Broad Meadows Middle                                                              | Public School  | Quincy                 | MA    | 02169 |
| 1301 | 379         | Central Middle                                                                    | Public School  | Quincy                 | MA    | 02170 |
| 1302 | 379         | Charles A Bernazzani Elementary                                                   | Public School  | Quincy                 | MA    | 02169 |
| 1303 | 379         | Clifford H Marshall Elementary                                                    | Public School  | Quincy                 | MA    | 02169 |
| 1304 | 379         | Francis W Parker                                                                  | Public School  | Quincy                 | MA    | 02171 |
| 1305 | 379         | Lincoln-Hancock Community School                                                  | Public School  | Quincy                 | MA    | 02169 |
| 1306 | 379         | Merrymount                                                                        | Public School  | Quincy                 | MA    | 02169 |
| 1307 | 379         | Montclair                                                                         | Public School  | Quincy                 | MA    | 02171 |
| 1308 | 379         | North Quincy High                                                                 | Public School  | Quincy                 | MA    | 02171 |
| 1309 | 379         | Point Webster Middle                                                              | Public School  | Quincy                 | MA    | 02169 |
| 1310 | 379         | Quincy High                                                                       | Public School  | Quincy                 | MA    | 02169 |
| 1311 | 379         | Snug Harbor Community School                                                      | Public School  | Quincy                 | MA    | 02169 |
| 1312 | 379         | South West Middle School                                                          | Public School  | Quincy                 | MA    | 02169 |
| 1313 | 379         | Squantum                                                                          | Public School  | Quincy                 | MA    | 02171 |
| 1314 | 379         | Wollaston School                                                                  | Public School  | Quincy                 | MA    | 02170 |
| 1315 | 380         | Ralph C Mahar Regional                                                            | Public School  | Orange                 | MA    | 01364 |
| 1316 | 381         | Elizabeth G Lyons Elementary                                                      | Public School  | Randolph               | MA    | 02368 |
| 1317 | 381         | J F Kennedy Elementary                                                            | Public School  | Randolph               | MA    | 02368 |
| 1318 | 381         | Margaret L Donovan                                                                | Public School  | Randolph               | MA    | 02368 |
| 1319 | 381         | Martin E Young Elementary                                                         | Public School  | Randolph               | MA    | 02368 |
| 1320 | 381         | Randolph Community Middle                                                         | Public School  | Randolph               | MA    | 02368 |
| 1321 | 381         | Randolph High                                                                     | Public School  | Randolph               | MA    | 02368 |
| 1322 | 383         | Alice M Barrows                                                                   | Public School  | Reading                | MA    | 01867 |
| 1323 | 383         | Arthur W Coolidge Middle                                                          | Public School  | Reading                | MA    | 01867 |
| 1324 | 383         | Birch Meadow                                                                      | Public School  | Reading                | MA    | 01867 |
| 1325 | 383         | J Warren Killam                                                                   | Public School  | Reading                | MA    | 01867 |
| 1326 | 383         | Joshua Eaton                                                                      | Public School  | Reading                | MA    | 01867 |
| 1327 | 383         | RISE PreSchool                                                                    | Public School  | Reading                | MA    | 01867 |
| 1328 | 383         | Reading Memorial High                                                             | Public School  | Reading                | MA    | 01867 |
| 1329 | 383         | Walter S Parker Middle                                                            | Public School  | Reading                | MA    | 01867 |
| 1330 | 383         | Wood End Elementary School                                                        | Public School  | Reading                | MA    | 01867 |
| 1331 | 385         | A. C. Whelan Elementary School                                                    | Public School  | Revere                 | MA    | 02151 |
| 1332 | 385         | Abraham Lincoln                                                                   | Public School  | Revere                 | MA    | 02151 |
| 1333 | 385         | Beachmont Veterans Memorial School                                                | Public School  | Revere                 | MA    | 02151 |
| 1334 | 385         | CityLab Innovation High School                                                    | Public School  | Revere                 | MA    | 02151 |
| 1335 | 385         | Garfield Elementary School                                                        | Public School  | Revere                 | MA    | 02151 |
| 1336 | 385         | Garfield Middle School                                                            | Public School  | Revere                 | MA    | 02151 |
| 1337 | 385         | Paul Revere                                                                       | Public School  | Revere                 | MA    | 02151 |
| 1338 | 385         | Revere High                                                                       | Public School  | Revere                 | MA    | 02151 |
| 1339 | 385         | Rumney Marsh Academy                                                              | Public School  | Revere                 | MA    | 02151 |
| 1340 | 385         | Staff Sargent James J. Hill Elementary School                                     | Public School  | Revere                 | MA    | 02151 |
| 1341 | 385         | Susan B. Anthony Middle School                                                    | Public School  | Revere                 | MA    | 02151 |
| 1342 | 386         | Richmond Consolidated                                                             | Public School  | Richmond               | MA    | 01254 |
| 1343 | 387         | Rising Tide Charter Public School                                                 | Charter School | Plymouth               | MA    | 02360 |
| 1344 | 388         | River Valley Charter School                                                       | Charter School | Newburyport            | MA    | 01950 |
| 1345 | 389         | Rochester Memorial                                                                | Public School  | Rochester              | MA    | 02770 |
| 1346 | 390         | Jefferson Elementary School                                                       | Public School  | Rockland               | MA    | 02370 |
| 1347 | 390         | John W Rogers Middle                                                              | Public School  | Rockland               | MA    | 02370 |
| 1348 | 390         | Memorial Park                                                                     | Public School  | Rockland               | MA    | 02370 |
| 1349 | 390         | R Stewart Esten                                                                   | Public School  | Rockland               | MA    | 02370 |
| 1350 | 390         | Rockland Senior High                                                              | Public School  | Rockland               | MA    | 02370 |
| 1351 | 391         | Rockport Elementary                                                               | Public School  | Rockport               | MA    | 01966 |
| 1352 | 391         | Rockport High                                                                     | Public School  | Rockport               | MA    | 01966 |
| 1353 | 391         | Rockport Middle                                                                   | Public School  | Rockport               | MA    | 01966 |
| 1354 | 392         | Rowe Elementary                                                                   | Public School  | Rowe                   | MA    | 01367 |
| 1355 | 394         | Roxbury Preparatory Charter School                                                | Charter School | Roxbury                | MA    | 02120 |
| 1356 | 398         | Bates                                                                             | Public School  | Salem                  | MA    | 01970 |
| 1357 | 398         | Bentley Academy Innovation School                                                 | Public School  | Salem                  | MA    | 01970 |
| 1358 | 398         | Carlton                                                                           | Public School  | Salem                  | MA    | 01970 |
| 1359 | 398         | Collins Middle                                                                    | Public School  | Salem                  | MA    | 01970 |
| 1360 | 398         | Horace Mann Laboratory                                                            | Public School  | Salem                  | MA    | 01970 |
| 1361 | 398         | New Liberty Innovation School                                                     | Public School  | Salem                  | MA    | 01970 |
| 1362 | 398         | Salem Early Childhood                                                             | Public School  | Salem                  | MA    | 01970 |
| 1363 | 398         | Salem High                                                                        | Public School  | Salem                  | MA    | 01970 |
| 1364 | 398         | Salem Prep High School                                                            | Public School  | Salem                  | MA    | 01970 |
| 1365 | 398         | Saltonstall School                                                                | Public School  | Salem                  | MA    | 01970 |
| 1366 | 398         | Witchcraft Heights                                                                | Public School  | Salem                  | MA    | 01970 |
| 1367 | 399         | Salem Academy Charter School                                                      | Charter School | Salem                  | MA    | 01970 |
| 1368 | 402         | Forestdale School                                                                 | Public School  | Sandwich               | MA    | 02644 |
| 1369 | 402         | Oak Ridge                                                                         | Public School  | East Sandwich          | MA    | 02537 |
| 1370 | 402         | Sandwich Middle High School                                                       | Public School  | East Sandwich          | MA    | 02537 |
| 1371 | 403         | Belmonte STEAM Academy                                                            | Public School  | Saugus                 | MA    | 01906 |
| 1372 | 403         | Saugus High                                                                       | Public School  | Saugus                 | MA    | 01906 |
| 1373 | 403         | Saugus Middle School                                                              | Public School  | Saugus                 | MA    | 01906 |
| 1374 | 403         | Veterans Early Learning Center                                                    | Public School  | Saugus                 | MA    | 01906 |
| 1375 | 404         | Emma L Miller Elementary School                                                   | Public School  | Savoy                  | MA    | 01256 |
| 1376 | 405         | Cushing Elementary                                                                | Public School  | Scituate               | MA    | 02066 |
| 1377 | 405         | Gates Middle School                                                               | Public School  | Scituate               | MA    | 02066 |
| 1378 | 405         | Hatherly Elementary                                                               | Public School  | Scituate               | MA    | 02066 |
| 1379 | 405         | Jenkins Elementary School                                                         | Public School  | Scituate               | MA    | 02066 |
| 1380 | 405         | Scituate High School                                                              | Public School  | Scituate               | MA    | 02066 |
| 1381 | 405         | Wampatuck Elementary                                                              | Public School  | Scituate               | MA    | 02066 |
| 1382 | 406         | Dr. Kevin M. Hurley Middle School                                                 | Public School  | Seekonk                | MA    | 02771 |
| 1383 | 406         | George R Martin                                                                   | Public School  | Seekonk                | MA    | 02771 |
| 1384 | 406         | Mildred Aitken School                                                             | Public School  | Seekonk                | MA    | 02771 |
| 1385 | 406         | Seekonk High                                                                      | Public School  | Seekonk                | MA    | 02771 |
| 1386 | 406         | Seekonk Transitions Academy                                                       | Public School  | Seekonk                | MA    | 02771 |
| 1387 | 407         | Cottage Street                                                                    | Public School  | Sharon                 | MA    | 02067 |
| 1388 | 407         | East Elementary                                                                   | Public School  | Sharon                 | MA    | 02067 |
| 1389 | 407         | Heights Elementary                                                                | Public School  | Sharon                 | MA    | 02067 |
| 1390 | 407         | Sharon Early Childhood Center                                                     | Public School  | Sharon                 | MA    | 02067 |
| 1391 | 407         | Sharon High                                                                       | Public School  | Sharon                 | MA    | 02067 |
| 1392 | 407         | Sharon Middle                                                                     | Public School  | Sharon                 | MA    | 02067 |
| 1393 | 408         | Shawsheen Valley Vocational Technical High School                                 | Public School  | Billerica              | MA    | 01821 |
| 1394 | 411         | Pine Hill                                                                         | Public School  | Sherborn               | MA    | 01770 |
| 1395 | 413         | Calvin Coolidge School                                                            | Public School  | Shrewsbury             | MA    | 01545 |
| 1396 | 413         | Floral Street School                                                              | Public School  | Shrewsbury             | MA    | 01545 |
| 1397 | 413         | Major Howard W. Beal School                                                       | Public School  | Shrewsbury             | MA    | 01545 |
| 1398 | 413         | Oak Middle School                                                                 | Public School  | Shrewsbury             | MA    | 01545 |
| 1399 | 413         | Parker Road Preschool                                                             | Public School  | Shrewsbury             | MA    | 01545 |
| 1400 | 413         | Sherwood Middle School                                                            | Public School  | Shrewsbury             | MA    | 01545 |
| 1401 | 413         | Shrewsbury High School                                                            | Public School  | Shrewsbury             | MA    | 01545 |
| 1402 | 413         | Spring Street School                                                              | Public School  | Shrewsbury             | MA    | 01545 |
| 1403 | 413         | Walter J. Paton School                                                            | Public School  | Shrewsbury             | MA    | 01545 |
| 1404 | 414         | Shutesbury Elementary                                                             | Public School  | Shutesbury             | MA    | 01072 |
| 1405 | 415         | Silver Lake Regional High                                                         | Public School  | Kingston               | MA    | 02364 |
| 1406 | 415         | Silver Lake Regional Middle School                                                | Public School  | Kingston               | MA    | 02364 |
| 1407 | 416         | Sizer School: A North Central Charter Essential School                            | Charter School | Fitchburg              | MA    | 01420 |
| 1408 | 417         | Chace Street                                                                      | Public School  | Somerset               | MA    | 02726 |
| 1409 | 417         | North Elementary                                                                  | Public School  | Somerset               | MA    | 02726 |
| 1410 | 417         | Somerset Middle School                                                            | Public School  | Somerset               | MA    | 02726 |
| 1411 | 417         | South                                                                             | Public School  | Somerset               | MA    | 02726 |
| 1412 | 418         | Somerset Berkley Regional High School                                             | Public School  | Somerset               | MA    | 02726 |
| 1413 | 419         | Albert F. Argenziano School at Lincoln Park                                       | Public School  | Somerville             | MA    | 02143 |
| 1414 | 419         | Arthur D Healey                                                                   | Public School  | Somerville             | MA    | 02145 |
| 1415 | 419         | Benjamin G Brown                                                                  | Public School  | Somerville             | MA    | 02144 |
| 1416 | 419         | Capuano Early Childhood Center                                                    | Public School  | Somerville             | MA    | 02145 |
| 1417 | 419         | E Somerville Community                                                            | Public School  | Somerville             | MA    | 02145 |
| 1418 | 419         | Full Circle High School                                                           | Public School  | Somerville             | MA    | 02143 |
| 1419 | 419         | John F Kennedy                                                                    | Public School  | Somerville             | MA    | 02144 |
| 1420 | 419         | Next Wave Junior High                                                             | Public School  | Somerville             | MA    | 02143 |
| 1421 | 419         | Somerville High                                                                   | Public School  | Somerville             | MA    | 02143 |
| 1422 | 419         | West Somerville Neighborhood                                                      | Public School  | Somerville             | MA    | 02144 |
| 1423 | 419         | Winter Hill Community                                                             | Public School  | Somerville             | MA    | 02143 |
| 1424 | 420         | Michael E. Smith Middle School                                                    | Public School  | South Hadley           | MA    | 01075 |
| 1425 | 420         | Mosier                                                                            | Public School  | South Hadley           | MA    | 01075 |
| 1426 | 420         | Plains Elementary                                                                 | Public School  | South Hadley           | MA    | 01075 |
| 1427 | 420         | South Hadley High                                                                 | Public School  | South Hadley           | MA    | 01075 |
| 1428 | 421         | Joseph P Keefe Technical High School                                              | Public School  | Framingham             | MA    | 01702 |
| 1429 | 422         | South Shore Charter Public School                                                 | Charter School | Norwell                | MA    | 02061 |
| 1430 | 423         | South Shore Vocational Technical High                                             | Public School  | Hanover                | MA    | 02339 |
| 1431 | 424         | William E Norris                                                                  | Public School  | Southampton            | MA    | 01073 |
| 1432 | 425         | Albert S. Woodward Memorial School                                                | Public School  | Southborough           | MA    | 01772 |
| 1433 | 425         | Margaret A Neary                                                                  | Public School  | Southborough           | MA    | 01772 |
| 1434 | 425         | Mary E Finn School                                                                | Public School  | Southborough           | MA    | 01772 |
| 1435 | 425         | P Brent Trottier                                                                  | Public School  | Southborough           | MA    | 01772 |
| 1436 | 426         | Charlton Street                                                                   | Public School  | Southbridge            | MA    | 01550 |
| 1437 | 426         | Eastford Road                                                                     | Public School  | Southbridge            | MA    | 01550 |
| 1438 | 426         | Southbridge Academy                                                               | Public School  | Southbridge            | MA    | 01550 |
| 1439 | 426         | Southbridge High School                                                           | Public School  | Southbridge            | MA    | 01550 |
| 1440 | 426         | Southbridge Middle School                                                         | Public School  | Southbridge            | MA    | 01550 |
| 1441 | 426         | West Street                                                                       | Public School  | Southbridge            | MA    | 01550 |
| 1442 | 427         | Southeastern Regional Vocational Technical                                        | Public School  | South Easton           | MA    | 02375 |
| 1443 | 428         | Mt Everett Regional                                                               | Public School  | Sheffield              | MA    | 01257 |
| 1444 | 428         | New Marlborough Central                                                           | Public School  | Sheffield              | MA    | 01257 |
| 1445 | 428         | South Egremont                                                                    | Public School  | Sheffield              | MA    | 01257 |
| 1446 | 428         | Undermountain                                                                     | Public School  | Sheffield              | MA    | 01257 |
| 1447 | 429         | Bay Path Regional Vocational Technical High School                                | Public School  | Charlton               | MA    | 01507 |
| 1448 | 432         | Powder Mill School                                                                | Public School  | Southwick              | MA    | 01077 |
| 1449 | 432         | Southwick Regional School                                                         | Public School  | Southwick              | MA    | 01077 |
| 1450 | 432         | Woodland School                                                                   | Public School  | Southwick              | MA    | 01077 |
| 1451 | 434         | David Prouty High                                                                 | Public School  | Spencer                | MA    | 01562 |
| 1452 | 434         | East Brookfield Elementary                                                        | Public School  | East Brookfield        | MA    | 01515 |
| 1453 | 434         | Knox Trail Middle School                                                          | Public School  | Spencer                | MA    | 01562 |
| 1454 | 434         | Wire Village School                                                               | Public School  | Spencer                | MA    | 01562 |
| 1455 | 435         | Alfred G. Zanetti Montessori Magnet School                                        | Public School  | Springfield            | MA    | 01104 |
| 1456 | 435         | Alice B Beal Elementary                                                           | Public School  | Springfield            | MA    | 01108 |
| 1457 | 435         | Arthur T Talmadge                                                                 | Public School  | Springfield            | MA    | 01118 |
| 1458 | 435         | Balliet Preschool                                                                 | Public School  | Springfield            | MA    | 01109 |
| 1459 | 435         | Brightwood                                                                        | Public School  | Springfield            | MA    | 01107 |
| 1460 | 435         | Chestnut Accelerated Middle School (Talented and Gifted)                          | Public School  | Springfield            | MA    | 01107 |
| 1461 | 435         | Conservatory of the Arts                                                          | Public School  | Springfield            | MA    | 01105 |
| 1462 | 435         | Daniel B Brunton                                                                  | Public School  | Springfield            | MA    | 01128 |
| 1463 | 435         | Early Childhood Education Center                                                  | Public School  | Springfield            | MA    | 01109 |
| 1464 | 435         | Edward P. Boland School                                                           | Public School  | Springfield            | MA    | 01104 |
| 1465 | 435         | Elias Brookings                                                                   | Public School  | Springfield            | MA    | 01105 |
| 1466 | 435         | Emergence Academy                                                                 | Public School  | Springfield            | MA    | 01104 |
| 1467 | 435         | Forest Park Middle                                                                | Public School  | Springfield            | MA    | 01108 |
| 1468 | 435         | Frank H Freedman                                                                  | Public School  | Springfield            | MA    | 01109 |
| 1469 | 435         | Frederick Harris                                                                  | Public School  | Springfield            | MA    | 01118 |
